Restaurant ID,,,
Restaurant Name,name,restaurant,
Country Code,,,
City,,,
Address,street,location,
Locality,position,,
Locality Verbose,,,
Longitude,,,
Latitude,,,
Average Cost for two,cost,average,
Currency,,,
Has Table booking,,,
Has Online delivery,,,
Is delivering now,delivery,delivering,deliver
Switch to order menu,,,
Price range,,,
Aggregate rating,rating,,
Rating color,,,
Rating text,,,
Votes,,,
Restaurant ID,,,
Cuisine,food,type,serve
Country Code,,,
Country Name,country,,